,gigabytes_per_sec,iops,numjobs,hipri,fixedbufs,registerfiles,sqthread_poll,thread,iodepth,blocksize,repeat
0,3.597125038,439102.177554,4,True,True,False,False,False,128,8,0
1,1.806885694,441134.202777,4,True,False,True,False,True,8,4,0
2,7.052491454,107612.479475,4,True,False,False,True,True,128,64,0
3,2.644684295,322837.438424,1,True,True,False,False,True,32,8,0
4,1.049601,256250.244379,2,False,False,True,False,False,8,4,0
5,4.113953348,1004383.141762,4,True,False,False,False,True,128,4,0
6,0.628654463,153480.093677,1,True,False,False,True,True,8,4,0
7,2.511676781,613202.339181,2,True,False,False,False,True,32,4,0
8,3.567248584,435455.149502,2,False,True,True,True,False,128,8,0
9,6.7108864,102400.0,1,False,False,True,False,False,128,64,0
10,7.122665499,434733.001658,4,False,False,True,True,True,128,16,0
11,1.062584684,259420.089065,2,False,True,False,False,False,8,4,0
12,2.095105998,255750.243902,2,True,False,False,True,False,8,8,0
13,4.391582102,268040.899796,4,False,False,False,True,True,8,16,0
14,7.052491454,107612.479475,4,True,True,False,False,True,32,64,0
15,3.258700528,397790.591806,4,True,False,True,False,True,8,8,0
16,1.786592053,436179.700499,1,True,True,False,True,False,32,4,0
17,2.913817704,177845.31886,2,True,False,False,False,False,8,16,0
18,7.122665499,434733.001658,4,True,False,True,True,False,128,16,0
19,4.4832644,547273.48643,2,False,True,True,True,False,32,8,0
20,6.118187031,93356.125356,4,True,True,False,True,False,8,64,0
21,4.059515402,495546.3138,2,False,False,False,False,False,128,8,0
22,5.867441661,89530.054645,1,False,False,True,True,True,32,64,0
23,0.610080581,148945.454545,1,True,False,True,False,False,8,4,0
24,4.971026962,303407.407407,1,True,True,True,False,True,128,16,0
25,5.341999124,326049.751244,2,False,False,True,False,False,32,16,0
26,0.622459028,151967.536232,1,False,True,False,True,False,8,4,0
27,3.947580235,481882.352941,2,False,True,True,False,False,128,8,0
28,1.202398459,146777.155655,1,False,True,True,True,True,8,8,0
29,5.666183767,691672.823219,4,False,False,True,True,True,32,8,0
30,5.899680351,90021.978022,1,False,True,True,True,True,32,64,0
31,4.400581245,268590.163934,1,False,True,True,False,False,128,16,0
32,1.093980462,267085.073867,2,False,True,True,True,False,8,4,0
33,6.972349506,106389.61039,4,False,False,False,False,True,32,64,0
34,0.614972407,150139.747995,1,False,False,True,False,False,8,4,0
35,2.550455638,311334.916865,1,False,True,True,False,True,32,8,0
36,6.049249712,369216.901408,2,False,True,True,False,False,128,16,0
37,4.994148018,304818.604651,1,True,True,True,False,False,128,16,0
38,6.52730592,99598.784195,2,False,False,False,False,False,32,64,0
39,4.24403883,259035.573123,1,False,False,False,True,True,32,16,0
40,7.122665499,434733.001658,4,False,True,False,True,False,128,16,0
41,3.991605293,243628.252788,1,False,False,False,False,False,32,16,0
42,7.122665499,434733.001658,4,False,True,True,True,True,128,16,0
43,5.666183767,691672.823219,4,False,True,True,True,True,32,8,0
44,2.618882497,319687.804878,1,False,True,True,False,True,128,8,0
45,0.620660013,151528.323699,1,True,False,True,True,True,8,4,0
46,4.355950604,265866.125761,4,False,True,True,False,True,8,16,0
47,6.118187031,373424.501425,2,True,False,True,False,False,128,16,0
48,1.121401382,273779.634465,2,False,True,False,True,True,8,4,0
49,4.157761177,1015078.412391,4,False,True,False,True,False,128,4,0
50,5.076793494,77465.72104,2,False,False,False,False,True,8,64,0
51,2.929718482,178815.825375,2,False,False,True,True,True,8,16,0
52,5.65871844,690761.528327,4,True,False,True,False,False,32,8,0
53,3.520464996,53718.032787,1,True,True,True,True,False,8,64,0
54,6.7108864,102400.0,1,False,True,False,False,False,128,64,0
55,3.387198182,826952.681388,2,True,False,False,True,False,128,4,0
56,2.625285633,640938.875306,2,False,False,False,True,False,32,4,0
57,5.688698405,694421.192053,4,True,True,False,True,False,32,8,0
58,1.425951957,348132.802125,1,True,False,False,False,True,32,4,0
59,5.899680351,90021.978022,1,True,False,False,False,True,32,64,0
60,4.113953348,1004383.141762,4,True,True,True,False,False,128,4,0
61,4.24403883,259035.573123,1,True,False,True,False,False,32,16,0
62,2.029757701,247773.1569,2,False,False,True,False,False,8,8,0
63,3.334601937,407055.900621,1,True,False,False,True,False,128,8,0
64,4.391582102,268040.899796,4,True,False,False,True,True,8,16,0
65,6.049249712,369216.901408,2,False,False,True,True,False,128,16,0
66,4.24403883,259035.573123,1,False,False,False,True,False,32,16,0
67,5.052902701,77101.176471,2,False,True,False,True,True,8,64,0
68,1.203746439,146941.704036,1,True,True,True,True,False,8,8,0
69,5.924092822,361577.931034,4,True,False,False,True,False,32,16,0
70,6.972349506,106389.61039,4,True,True,False,True,True,32,64,0
71,2.957966457,361079.889807,1,True,False,True,True,True,32,8,0
72,7.064090947,107789.473684,4,False,False,False,False,False,128,64,0
73,6.961049102,106217.179903,4,False,False,True,True,True,32,64,0
74,1.205097445,147106.621773,1,True,False,True,False,False,8,8,0
75,5.041041427,76920.187793,2,True,True,True,False,False,8,64,0
76,5.71139268,348595.744681,1,False,False,True,True,True,128,16,0
77,1.079680064,263593.765711,2,False,False,False,False,False,8,4,0
78,2.937734128,179305.06156,2,True,True,True,True,True,8,16,0
79,2.957966457,180539.944904,2,True,True,False,False,True,8,16,0
80,6.52730592,99598.784195,2,True,True,True,False,True,32,64,0
81,7.134497169,108863.787375,4,False,True,False,True,False,128,64,0
82,2.314098758,564965.517241,2,False,False,False,False,False,32,4,0
83,0.619943316,151353.34873,1,True,True,True,True,True,8,4,0
84,7.122665499,434733.001658,4,True,True,False,True,True,128,16,0
85,1.71524253,104690.095847,1,True,False,False,True,True,8,16,0
86,5.924092822,361577.931034,4,True,False,False,True,True,32,16,0
87,4.269351188,521161.033797,2,False,False,False,False,True,32,8,0
88,0.581343705,141929.615593,1,False,False,False,False,False,8,4,0
89,5.36870912,327680.0,2,True,False,True,False,True,32,16,0
90,1.21877619,148776.390465,1,True,True,False,False,True,8,8,0
91,4.391582102,536081.799591,2,True,True,False,False,True,32,8,0
92,3.597125038,439102.177554,4,True,True,False,True,False,128,8,0
93,2.101256015,256500.978474,2,True,False,True,False,False,8,8,0
94,4.059515402,495546.3138,2,False,False,True,False,False,32,8,0
95,6.972349506,106389.61039,4,False,True,False,True,True,32,64,0
96,5.422938505,330989.89899,2,False,False,False,False,True,32,16,0
97,1.754480104,428339.869281,1,True,True,True,True,True,32,4,0
98,1.238456544,302357.554787,1,True,False,False,False,True,128,4,0
99,5.981848601,365103.064067,2,True,False,False,True,False,128,16,0
100,4.382619689,267493.877551,1,True,False,False,False,False,128,16,0
101,7.052491454,107612.479475,4,False,True,False,True,True,128,64,0
102,6.52730592,99598.784195,2,True,False,True,True,True,32,64,0
103,6.52730592,99598.784195,2,True,True,False,True,False,32,64,0
104,7.075728658,107967.051071,4,True,True,False,True,True,128,64,0
105,3.585114604,437636.0601,2,False,False,True,True,False,128,8,0
106,4.106087281,1002462.715105,4,False,True,True,False,True,128,4,0
107,0.636480037,155390.634262,1,True,True,False,False,False,8,4,0
108,4.227330015,258015.748031,1,True,False,True,True,True,32,16,0
109,1.803850187,440393.112138,4,True,False,True,False,False,8,4,0
110,5.867441661,89530.054645,1,False,True,True,False,False,32,64,0
111,6.972349506,106389.61039,1,False,True,True,True,True,128,64,0
112,1.529546757,373424.501425,1,True,True,False,False,True,128,4,0
113,4.409617347,269141.683778,4,True,False,False,False,False,8,16,0
114,5.382164531,328501.253133,2,False,True,False,True,True,32,16,0
115,3.403302136,830884.310618,2,True,False,True,True,False,128,4,0
116,5.052902701,77101.176471,2,True,False,True,True,False,8,64,0
117,2.584216182,630912.154031,2,True,False,False,True,False,32,4,0
118,4.121849612,1006310.940499,4,True,True,True,True,False,128,4,0
119,5.315553584,324435.643564,2,False,True,True,False,True,32,16,0
120,1.210531932,147770.011274,1,True,False,False,False,False,8,8,0
121,5.041041427,76920.187793,2,False,False,True,True,False,8,64,0
122,5.924092822,361577.931034,4,True,True,True,False,True,32,16,0
123,3.532045473,53894.736842,1,True,True,False,False,True,8,64,0
124,4.137733425,1010188.824663,4,True,False,False,True,False,128,4,0
125,1.466860415,358120.218579,1,False,True,True,False,True,128,4,0
126,4.24403883,259035.573123,1,True,False,False,False,True,32,16,0
127,6.52730592,99598.784195,2,True,True,False,False,False,32,64,0
128,5.422938505,330989.89899,2,True,False,True,True,False,32,16,0
129,5.36870912,327680.0,2,True,True,False,False,False,32,16,0
130,3.57615928,436542.880933,4,False,True,True,False,False,128,8,0
131,2.945793755,179796.982167,2,False,True,True,True,False,8,16,0
132,3.508960209,53542.48366,1,False,False,True,False,True,8,64,0
133,3.19566019,780190.47619,4,True,True,True,False,True,32,4,0
134,6.52730592,99598.784195,2,False,True,False,True,True,32,64,0
135,1.401751728,342224.543081,1,True,True,True,False,True,32,4,0
136,6.972349506,106389.61039,2,False,False,False,True,True,128,64,0
137,1.812987461,442623.891938,4,False,True,False,True,False,8,4,0
138,1.803850187,440393.112138,4,True,False,False,False,False,8,4,0
139,2.949840175,360087.912088,1,False,False,False,True,False,32,8,0
140,4.409617347,538283.367556,2,False,False,False,True,False,32,8,0
141,6.972349506,106389.61039,4,True,False,True,False,True,32,64,0
142,5.436667463,331827.848101,2,True,True,True,False,True,32,16,0
143,4.391582102,268040.899796,4,True,False,True,False,False,8,16,0
144,2.091025947,255252.190847,2,True,True,True,True,False,8,8,0
145,1.717986918,104857.6,1,False,False,False,True,False,8,16,0
146,2.86331153,174762.666667,2,False,True,False,False,False,8,16,0
147,5.696243098,695342.175066,4,True,True,True,True,True,32,8,0
148,4.320892651,527452.716298,2,True,False,False,False,False,32,8,0
149,5.436667463,331827.848101,2,True,False,False,False,True,32,16,0
150,1.938162137,473184.115523,1,False,False,True,True,True,128,4,0
151,6.049249712,369216.901408,2,False,False,True,True,True,128,16,0
152,4.436949685,270809.917355,1,True,False,True,False,True,128,16,0
153,4.277855872,261099.601594,1,False,False,False,False,True,32,16,0
154,3.503235967,855282.218597,2,True,False,True,True,True,128,4,0
155,5.125259303,78205.250597,2,False,True,True,False,True,8,64,0
156,7.052491454,107612.479475,4,True,True,True,False,True,128,64,0
157,2.423796442,295873.589165,1,False,False,False,False,True,128,8,0
158,4.948119004,302009.21659,1,True,True,False,False,False,128,16,0
159,4.396077068,268315.250768,4,True,False,True,False,True,8,16,0
160,5.899680351,90021.978022,1,True,True,True,True,True,32,64,0
161,1.062584684,259420.089065,2,False,False,True,False,True,8,4,0
162,3.582124517,437271.059216,4,False,False,False,True,True,128,8,0
163,5.041041427,76920.187793,2,False,False,False,False,False,8,64,0
164,1.737446317,106045.307443,1,True,False,True,False,True,8,16,0
165,3.193284234,779610.408922,4,False,False,False,False,False,32,4,0
166,5.924092822,361577.931034,4,False,True,False,True,False,32,16,0
167,6.961049102,106217.179903,4,False,False,False,True,True,32,64,0
168,5.36870912,327680.0,2,False,False,False,True,True,32,16,0
169,7.122665499,434733.001658,4,False,True,False,True,True,128,16,0
170,3.573184106,436179.700499,2,True,False,True,False,True,128,8,0
171,5.36870912,327680.0,2,True,False,False,False,False,32,16,0
172,6.995060742,106736.156352,2,False,False,False,False,True,128,64,0
173,1.737446317,106045.307443,1,True,True,True,False,False,8,16,0
174,5.867441661,89530.054645,1,True,False,False,True,True,32,64,0
175,2.532409962,309132.075472,1,True,False,True,False,False,32,8,0
176,2.599859138,634731.234867,2,False,False,True,True,True,32,4,0
177,5.36870912,327680.0,2,True,True,False,True,False,32,16,0
178,6.52730592,99598.784195,2,True,False,True,False,False,32,64,0
179,6.066337988,92564.971751,4,False,True,False,False,False,8,64,0
180,6.049249712,369216.901408,2,True,True,True,False,True,128,16,0
181,1.17993607,288070.32967,1,False,False,True,False,False,32,4,0
182,3.293686576,402061.349693,1,False,False,True,True,True,128,8,0
183,3.582124517,437271.059216,4,True,False,True,True,False,128,8,0
184,2.870967443,700919.786096,2,True,True,False,False,True,128,4,0
185,3.188542907,778452.858203,4,False,False,True,False,False,32,4,0
186,3.198039684,780771.407297,4,True,False,True,True,True,32,4,0
187,7.122665499,434733.001658,4,False,False,False,True,False,128,16,0
188,6.049249712,369216.901408,2,True,True,True,False,False,128,16,0
189,7.064090947,107789.473684,4,True,False,True,False,False,128,64,0
190,5.651272757,689852.631579,4,True,False,True,True,True,32,8,0
191,5.899680351,90021.978022,1,False,False,False,False,True,32,64,0
192,5.506368328,336082.051282,1,True,False,False,True,False,128,16,0
193,5.052902701,77101.176471,2,True,False,False,True,False,8,64,0
194,2.929718482,178815.825375,2,False,False,True,True,False,8,16,0
195,2.060924806,251577.735125,2,False,False,True,False,True,8,8,0
196,6.100805818,93090.909091,4,True,True,False,False,False,8,64,0
197,6.7108864,102400.0,1,True,False,False,False,True,128,64,0
198,4.360372889,266136.040609,4,False,False,True,False,True,8,16,0
199,1.420293417,346751.322751,1,True,True,True,False,False,32,4,0
200,5.052902701,77101.176471,2,True,True,False,False,True,8,64,0
201,1.71524253,104690.095847,1,True,True,True,True,False,8,16,0
202,5.65871844,690761.528327,4,True,False,False,False,True,32,8,0
203,2.088991875,255003.891051,2,False,False,True,True,True,8,8,0
204,3.585114604,437636.0601,2,True,True,False,False,False,128,8,0
205,1.71524253,418760.383387,1,True,False,False,True,False,32,4,0
206,3.543702389,54072.607261,1,False,True,False,True,False,8,64,0
207,6.049249712,369216.901408,2,True,True,False,False,False,128,16,0
208,7.052491454,107612.479475,4,True,True,True,True,True,128,64,0
209,5.924092822,361577.931034,4,False,True,False,False,True,32,16,0
210,2.080895007,254015.503876,2,True,False,False,True,True,8,8,0
211,6.52730592,99598.784195,2,True,False,False,False,False,32,64,0
212,6.995060742,106736.156352,2,True,False,False,False,True,128,64,0
213,7.017920418,107084.96732,4,False,True,False,False,True,128,64,0
214,0.623905766,152320.743754,1,False,False,True,True,True,8,4,0
215,1.810694475,442064.080944,4,True,False,True,True,False,8,4,0
216,4.269351188,521161.033797,2,True,False,True,False,True,32,8,0
217,7.052491454,107612.479475,4,True,False,True,True,False,128,64,0
218,5.36870912,327680.0,2,True,True,True,True,True,32,16,0
219,6.961049102,106217.179903,4,True,False,False,True,True,32,64,0
220,6.074918381,92695.898161,4,True,False,True,True,True,8,64,0
221,2.929718482,178815.825375,2,True,False,False,False,True,8,16,0
222,2.929718482,178815.825375,2,True,False,True,True,True,8,16,0
223,5.924092822,361577.931034,4,True,True,False,True,False,32,16,0
224,1.085135749,264925.720061,2,False,True,False,True,False,8,4,0
225,6.092152192,92958.865248,4,True,False,False,True,False,8,64,0
226,3.217203967,392725.093633,4,True,True,False,False,True,8,8,0
227,6.092152192,92958.865248,4,True,False,True,True,False,8,64,0
228,6.995060742,106736.156352,2,True,True,True,True,False,128,64,0
229,1.186455054,144830.939227,1,True,False,True,True,True,8,8,0
230,4.129776246,1008246.153846,4,True,True,False,True,True,128,4,0
231,6.669203875,101763.975155,1,False,False,False,True,False,128,64,0
232,6.074918381,92695.898161,4,False,False,True,True,True,8,64,0
233,5.867441661,89530.054645,1,False,True,True,False,True,32,64,0
234,3.579139413,54613.333333,1,False,False,True,True,False,8,64,0
235,6.153248275,375564.469914,2,False,False,True,False,False,128,16,0
236,3.615292336,882639.73064,2,False,False,False,True,False,128,4,0
237,4.338350804,264791.919192,4,False,True,True,False,False,8,16,0
238,1.792557302,437636.0601,1,True,True,False,True,True,32,4,0
239,1.501736816,366634.965035,1,True,True,False,False,False,32,4,0
240,2.937734128,179305.06156,2,True,True,True,False,False,8,16,0
241,6.049249712,369216.901408,2,True,True,True,True,True,128,16,0
242,3.155743788,385222.630419,4,False,True,True,False,False,8,8,0
243,2.099202001,256250.244379,2,True,False,False,False,True,8,8,0
244,7.122665499,434733.001658,4,False,False,False,False,False,128,16,0
245,2.088991875,510007.782101,1,False,True,True,True,False,128,4,0
246,0.626453806,152942.823804,1,False,True,False,False,True,8,4,0
247,3.579139413,436906.666667,4,True,False,True,False,True,128,8,0
248,6.995060742,106736.156352,2,False,True,False,True,True,128,64,0
249,6.972349506,106389.61039,2,True,False,False,True,False,128,64,0
250,6.927366606,105703.225806,1,False,False,False,False,True,128,64,0
251,6.972349506,106389.61039,1,True,True,False,False,False,128,64,0
252,1.205097445,147106.621773,1,True,False,False,True,False,8,8,0
253,5.924092822,361577.931034,4,False,False,True,False,False,32,16,0
254,4.400581245,268590.163934,4,True,True,True,True,False,8,16,0
255,5.899680351,90021.978022,1,True,True,False,False,True,32,64,0
256,2.615692628,638596.83313,2,False,True,False,True,False,32,4,0
257,6.972349506,106389.61039,4,True,True,False,True,False,32,64,0
258,4.387096318,267767.109295,4,False,True,True,True,True,8,16,0
259,4.34713289,530655.870445,2,False,False,False,False,False,32,8,0
260,3.579139413,436906.666667,4,True,False,True,False,False,128,8,0
261,4.549753491,277694.915254,1,True,False,False,False,True,128,16,0
262,7.052491454,107612.479475,4,False,True,True,True,True,128,64,0
263,3.209990505,783689.088191,4,False,False,True,True,True,32,4,0
264,2.962046411,180788.965517,2,True,True,False,False,False,8,16,0
265,6.972349506,106389.61039,4,True,False,False,True,False,32,64,0
266,2.451465351,598502.283105,2,True,False,True,False,False,32,4,0
267,2.299233027,561336.188437,2,False,False,True,False,False,32,4,0
268,5.63644002,688041.994751,4,False,False,True,False,False,32,8,0
269,4.260880253,260063.492063,1,True,True,True,False,True,32,16,0
270,7.064090947,107789.473684,4,False,False,True,True,True,128,64,0
271,1.717986918,104857.6,1,False,False,False,True,True,8,16,0
272,5.924092822,361577.931034,4,True,False,False,False,False,32,16,0
273,3.591109779,438367.892977,4,True,False,False,False,False,128,8,0
274,3.585114604,437636.0601,4,False,True,False,False,True,128,8,0
275,3.520464996,53718.032787,1,False,False,False,True,False,8,64,0
276,3.603160483,439838.926174,2,True,True,True,True,False,128,8,0
277,1.213267597,148103.954802,1,False,True,True,True,False,8,8,0
278,1.812222487,442437.130802,4,False,True,True,True,True,8,4,0
279,7.134497169,108863.787375,2,False,True,False,True,False,128,64,0
280,6.62803595,101135.802469,2,False,False,True,False,True,32,64,0
281,2.677660408,653725.685786,2,False,False,False,False,True,128,4,0
282,4.125809121,1007277.617675,4,True,True,True,False,True,128,4,0
283,1.174772236,143404.814004,1,False,False,True,False,False,8,8,0
284,2.697843778,329326.633166,1,True,True,False,False,False,32,8,0
285,6.995060742,106736.156352,2,True,False,True,False,True,128,64,0
286,6.7108864,102400.0,1,False,True,True,False,False,128,64,0
287,3.579139413,436906.666667,1,False,True,True,True,False,128,8,0
288,3.202809318,390967.934377,4,False,False,False,True,False,8,8,0
289,5.643846643,688946.123522,4,True,True,False,False,True,32,8,0
290,3.603160483,439838.926174,2,True,False,False,True,True,128,8,0
291,7.110873006,108503.311258,2,True,True,False,True,False,128,64,0
292,3.268620468,399001.52207,4,True,True,True,True,False,8,8,0
293,1.696274603,103532.385466,1,False,True,False,False,True,8,16,0
294,6.066337988,92564.971751,1,False,False,True,False,True,32,64,0
295,3.561332749,434733.001658,2,True,True,False,False,True,128,8,0
296,0.607663737,148355.404641,1,True,False,False,True,False,8,4,0
297,3.179102365,776148.03849,4,False,True,False,False,False,32,4,0
298,2.590450721,632434.258142,2,True,False,True,True,True,32,4,0
299,3.532045473,53894.736842,1,False,True,True,True,False,8,64,0
300,1.984735349,484554.528651,1,True,False,False,True,False,128,4,0
301,7.064090947,107789.473684,4,False,False,True,False,False,128,64,0
302,6.7108864,102400.0,1,True,False,False,False,False,128,64,0
303,5.899680351,90021.978022,1,False,True,False,False,False,32,64,0
304,4.391582102,268040.899796,4,True,False,True,True,True,8,16,0
305,2.894182814,176646.90027,2,False,True,True,False,False,8,16,0
306,1.04246779,254508.737864,2,False,False,False,False,True,8,4,0
307,4.137733425,1010188.824663,4,False,False,True,True,False,128,4,0
308,1.693599091,103369.085174,1,False,True,False,False,False,8,16,0
309,0.622820083,152055.684455,1,True,True,False,True,False,8,4,0
310,5.629052812,687140.235911,4,False,False,False,False,False,32,8,0
311,5.005789389,76382.284382,2,False,True,False,False,False,8,64,0
312,3.2075932,783103.808813,4,False,False,False,True,False,32,4,0
313,5.93227527,362077.348066,4,False,True,True,True,True,32,16,0
314,0.603225743,147271.910112,1,False,True,False,False,False,8,4,0
315,1.970168484,480998.165138,1,True,False,True,True,False,128,4,0
316,5.36870912,327680.0,2,True,False,True,True,True,32,16,0
317,1.481023205,361577.931034,1,False,True,True,False,False,128,4,0
318,6.066337988,92564.971751,4,False,True,True,True,False,8,64,0
319,5.18715857,316599.033816,1,True,True,False,True,True,128,16,0
320,1.09120104,266406.504065,2,True,False,False,True,True,8,4,0
321,5.382164531,328501.253133,2,True,True,True,True,False,32,16,0
322,4.269351188,521161.033797,2,False,True,False,False,False,128,8,0
323,4.608334008,281270.386266,1,False,False,True,False,False,128,16,0
324,6.995060742,106736.156352,2,False,False,False,False,False,128,64,0
325,3.188542907,389226.429102,4,True,False,False,True,False,8,8,0
326,5.899680351,90021.978022,1,False,False,False,False,False,32,64,0
327,1.160801971,283398.918919,1,False,False,False,False,False,128,4,0
328,7.052491454,107612.479475,4,False,False,False,True,True,128,64,0
329,2.878664407,175699.731903,2,False,False,True,False,True,8,16,0
330,1.205097445,147106.621773,1,True,True,False,True,False,8,8,0
331,5.36870912,327680.0,2,False,True,True,False,False,32,16,0
332,1.698958582,103696.202532,1,False,False,True,False,False,8,16,0
333,2.457075112,299935.926773,1,True,False,False,False,False,32,8,0
334,1.101273665,268865.641026,2,True,True,False,False,True,8,4,0
335,4.364804162,532813.00813,2,False,True,False,False,False,32,8,0
336,2.622080156,640156.288156,2,True,False,True,False,False,128,4,0
337,6.083523082,92827.195467,4,False,False,False,True,False,8,64,0
338,3.198039684,390385.703649,4,True,False,True,False,False,8,8,0
339,3.181457256,776722.962963,4,False,False,False,False,True,32,4,0
340,3.2075932,391551.904406,4,True,False,False,True,True,8,8,0
341,6.066337988,92564.971751,4,False,False,True,False,False,8,64,0
342,1.723502125,105194.221509,1,False,True,False,True,False,8,16,0
343,4.396077068,268315.250768,4,True,True,False,False,True,8,16,0
344,6.972349506,106389.61039,4,False,True,False,False,True,32,64,0
345,4.400581245,268590.163934,4,False,False,True,True,False,8,16,0
346,4.260880253,260063.492063,1,False,True,False,True,True,32,16,0
347,5.899680351,90021.978022,1,True,False,True,False,False,32,64,0
348,6.074918381,92695.898161,4,False,False,False,True,True,8,64,0
349,2.874810773,175464.524766,2,False,False,False,False,True,8,16,0
350,3.186177519,388937.68546,4,False,False,False,False,False,8,8,0
351,0.60458436,147603.603604,1,True,False,True,True,False,8,4,0
352,2.091025947,255252.190847,2,False,False,False,True,True,8,8,0
353,5.041041427,76920.187793,2,False,False,True,True,True,8,64,0
354,5.71139268,348595.744681,1,False,False,False,True,False,128,16,0
355,1.981073476,483660.516605,1,False,False,True,True,False,128,4,0
356,3.190911809,389515.601783,4,False,True,True,False,True,8,8,0
357,3.050402909,372363.636364,1,False,True,False,True,True,32,8,0
358,3.543702389,54072.607261,1,True,False,True,False,True,8,64,0
359,3.940336968,480998.165138,2,False,False,False,False,True,128,8,0
360,4.260880253,260063.492063,1,True,True,False,True,True,32,16,0
361,3.573184106,436179.700499,2,True,False,False,False,False,128,8,0
362,0.63050019,153930.710511,1,True,True,True,True,False,8,4,0
363,3.231728589,394498.118886,4,True,True,False,False,False,8,8,0
364,2.091025947,255252.190847,2,False,True,True,True,True,8,8,0
365,4.373693784,266949.083503,4,True,False,True,True,False,8,16,0
366,1.501736816,366634.965035,1,True,True,False,False,False,128,4,0
367,2.941758421,179550.684932,2,True,True,True,False,True,8,16,0
